country_name,type,product,flow,year,value
Sweden,Balance,Liquified Petroleum Gas,Net Deliveries,2021,711.718
Switzerland,Balance,Liquified Petroleum Gas,Net Deliveries,2021,150.916
Türkiye,Balance,Liquified Petroleum Gas,Net Deliveries,2021,3868.285
United Kingdom,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2562
United States,Balance,Liquified Petroleum Gas,Net Deliveries,2021,32777
Australia,Balance,Naphtha,Net Deliveries,2021,0
Austria,Balance,Naphtha,Net Deliveries,2021,1081.534
Belgium,Balance,Naphtha,Net Deliveries,2021,4938.3
Canada,Balance,Naphtha,Net Deliveries,2021,688.231
Chile,Balance,Naphtha,Net Deliveries,2021,43.371
Czech Republic,Balance,Naphtha,Net Deliveries,2021,1026
Denmark,Balance,Naphtha,Net Deliveries,2021,0
Estonia,Balance,Naphtha,Net Deliveries,2021,0
Finland,Balance,Naphtha,Net Deliveries,2021,0
France,Balance,Naphtha,Net Deliveries,2021,5793
Germany,Balance,Naphtha,Net Deliveries,2021,13405.757
Greece,Balance,Naphtha,Net Deliveries,2021,29.531
Hungary,Balance,Naphtha,Net Deliveries,2021,1124
Iceland,Balance,Naphtha,Net Deliveries,2021,0
Ireland,Balance,Naphtha,Net Deliveries,2021,0.459
Israel,Balance,Naphtha,Net Deliveries,2021,456
Italy,Balance,Naphtha,Net Deliveries,2021,3881.445
Japan,Balance,Naphtha,Net Deliveries,2021,31403.459
South Korea,Balance,Naphtha,Net Deliveries,2021,42037.115
Latvia,Balance,Naphtha,Net Deliveries,2021,0
Lithuania,Balance,Naphtha,Net Deliveries,2021,0
Luxembourg,Balance,Naphtha,Net Deliveries,2021,0
Mexico,Balance,Naphtha,Net Deliveries,2021,1260
Netherlands,Balance,Naphtha,Net Deliveries,2021,6852.826
Norway,Balance,Naphtha,Net Deliveries,2021,0
New Zealand,Balance,Naphtha,Net Deliveries,2021,0
Poland,Balance,Naphtha,Net Deliveries,2021,985.803
Portugal,Balance,Naphtha,Net Deliveries,2021,644.677
Slovakia,Balance,Naphtha,Net Deliveries,2021,576.485
Slovenia,Balance,Naphtha,Net Deliveries,2021,0
Spain,Balance,Naphtha,Net Deliveries,2021,1594.786
Sweden,Balance,Naphtha,Net Deliveries,2021,387.769
Switzerland,Balance,Naphtha,Net Deliveries,2021,13.715
Türkiye,Balance,Naphtha,Net Deliveries,2021,1841
United Kingdom,Balance,Naphtha,Net Deliveries,2021,155
United States,Balance,Naphtha,Net Deliveries,2021,7977
Australia,Balance,Naphtha,Net Deliveries,2021,0
Austria,Balance,Naphtha,Net Deliveries,2021,832.786
Belgium,Balance,Naphtha,Net Deliveries,2021,3992.5
Canada,Balance,Naphtha,Net Deliveries,2021,863.561
Chile,Balance,Naphtha,Net Deliveries,2021,58.649
Czech Republic,Balance,Naphtha,Net Deliveries,2021,1002
Denmark,Balance,Naphtha,Net Deliveries,2021,0
Estonia,Balance,Naphtha,Net Deliveries,2021,0
Finland,Balance,Naphtha,Net Deliveries,2021,33
France,Balance,Naphtha,Net Deliveries,2021,4078
Germany,Balance,Naphtha,Net Deliveries,2021,11955.695
Greece,Balance,Naphtha,Net Deliveries,2021,10.663
Hungary,Balance,Naphtha,Net Deliveries,2021,880
Iceland,Balance,Naphtha,Net Deliveries,2021,0
Ireland,Balance,Naphtha,Net Deliveries,2021,0.379
Israel,Balance,Naphtha,Net Deliveries,2021,359
Italy,Balance,Naphtha,Net Deliveries,2021,3153.575
Japan,Balance,Naphtha,Net Deliveries,2021,27999.608
South Korea,Balance,Naphtha,Net Deliveries,2021,40771.611
Latvia,Balance,Naphtha,Net Deliveries,2021,0
Lithuania,Balance,Naphtha,Net Deliveries,2021,2.5
Luxembourg,Balance,Naphtha,Net Deliveries,2021,0
Mexico,Balance,Naphtha,Net Deliveries,2021,1289
Netherlands,Balance,Naphtha,Net Deliveries,2021,6160.96
Norway,Balance,Naphtha,Net Deliveries,2021,0
New Zealand,Balance,Naphtha,Net Deliveries,2021,0
Poland,Balance,Naphtha,Net Deliveries,2021,1421.198
Portugal,Balance,Naphtha,Net Deliveries,2021,391.966
Slovakia,Balance,Naphtha,Net Deliveries,2021,493.175
Slovenia,Balance,Naphtha,Net Deliveries,2021,0
Spain,Balance,Naphtha,Net Deliveries,2021,1662.177
Sweden,Balance,Naphtha,Net Deliveries,2021,204.805
Switzerland,Balance,Naphtha,Net Deliveries,2021,20.971
Türkiye,Balance,Naphtha,Net Deliveries,2021,1297.189
United Kingdom,Balance,Naphtha,Net Deliveries,2021,53
United States,Balance,Naphtha,Net Deliveries,2021,5925
Australia,Balance,Total gas oil production,Net Deliveries,2021,11540.348
Austria,Balance,Total gas oil production,Net Deliveries,2021,1442.387
Belgium,Balance,Total gas oil production,Net Deliveries,2021,1997.2
Canada,Balance,Total gas oil production,Net Deliveries,2021,30268.63
Chile,Balance,Total gas oil production,Net Deliveries,2021,3737.065
Czech Republic,Balance,Total gas oil production,Net Deliveries,2021,1518
Denmark,Balance,Total gas oil production,Net Deliveries,2021,1280
Estonia,Balance,Total gas oil production,Net Deliveries,2021,207
Finland,Balance,Total gas oil production,Net Deliveries,2021,1342
France,Balance,Total gas oil production,Net Deliveries,2021,8317
Germany,Balance,Total gas oil production,Net Deliveries,2021,15606.152
Greece,Balance,Total gas oil production,Net Deliveries,2021,2037.322
Hungary,Balance,Total gas oil production,Net Deliveries,2021,1478
Iceland,Balance,Total gas oil production,Net Deliveries,2021,101.757
Ireland,Balance,Total gas oil production,Net Deliveries,2021,608.716
Israel,Balance,Total gas oil production,Net Deliveries,2021,3256
Italy,Balance,Total gas oil production,Net Deliveries,2021,7288.852
Japan,Balance,Total gas oil production,Net Deliveries,2021,28387.82
South Korea,Balance,Total gas oil production,Net Deliveries,2021,8537.202
Latvia,Balance,Total gas oil production,Net Deliveries,2021,159.538
Lithuania,Balance,Total gas oil production,Net Deliveries,2021,257.1
Luxembourg,Balance,Total gas oil production,Net Deliveries,2021,339.076
Mexico,Balance,Total gas oil production,Net Deliveries,2021,24039.342
Netherlands,Balance,Total gas oil production,Net Deliveries,2021,3819.776
Norway,Balance,Total gas oil production,Net Deliveries,2021,718.443
New Zealand,Balance,Total gas oil production,Net Deliveries,2021,2198
Poland,Balance,Total gas oil production,Net Deliveries,2021,4789.835
Portugal,Balance,Total gas oil production,Net Deliveries,2021,960.985
Slovakia,Balance,Total gas oil production,Net Deliveries,2021,553.011
Slovenia,Balance,Total gas oil production,Net Deliveries,2021,370
Spain,Balance,Total gas oil production,Net Deliveries,2021,5247.091
Sweden,Balance,Total gas oil production,Net Deliveries,2021,2169.276
Switzerland,Balance,Total gas oil production,Net Deliveries,2021,2132.692
Türkiye,Balance,Total gas oil production,Net Deliveries,2021,1677.854
United Kingdom,Balance,Total gas oil production,Net Deliveries,2021,10817
United States,Balance,Total gas oil production,Net Deliveries,2021,379625.411
Australia,Balance,Total gas oil production,Net Deliveries,2021,11898.631
Austria,Balance,Total gas oil production,Net Deliveries,2021,1501.374
Belgium,Balance,Total gas oil production,Net Deliveries,2021,2138.9
Canada,Balance,Total gas oil production,Net Deliveries,2021,31044.769
Chile,Balance,Total gas oil production,Net Deliveries,2021,4088.833
Czech Republic,Balance,Total gas oil production,Net Deliveries,2021,1595
Denmark,Balance,Total gas oil production,Net Deliveries,2021,1276
Estonia,Balance,Total gas oil production,Net Deliveries,2021,201
Finland,Balance,Total gas oil production,Net Deliveries,2021,1260
France,Balance,Total gas oil production,Net Deliveries,2021,9451
Germany,Balance,Total gas oil production,Net Deliveries,2021,15618.214
Greece,Balance,Total gas oil production,Net Deliveries,2021,2074.16
Hungary,Balance,Total gas oil production,Net Deliveries,2021,1531
Iceland,Balance,Total gas oil production,Net Deliveries,2021,109.481
Ireland,Balance,Total gas oil production,Net Deliveries,2021,687.878
Israel,Balance,Total gas oil production,Net Deliveries,2021,3436
Italy,Balance,Total gas oil production,Net Deliveries,2021,7907.435
Japan,Balance,Total gas oil production,Net Deliveries,2021,28339.304
South Korea,Balance,Total gas oil production,Net Deliveries,2021,8644.716
Latvia,Balance,Total gas oil production,Net Deliveries,2021,154.393
Lithuania,Balance,Total gas oil production,Net Deliveries,2021,282.1
Luxembourg,Balance,Total gas oil production,Net Deliveries,2021,344.89
Mexico,Balance,Total gas oil production,Net Deliveries,2021,28040
Netherlands,Balance,Total gas oil production,Net Deliveries,2021,3928.73
Norway,Balance,Total gas oil production,Net Deliveries,2021,683.177
New Zealand,Balance,Total gas oil production,Net Deliveries,2021,2204
Poland,Balance,Total gas oil production,Net Deliveries,2021,5177.748
Portugal,Balance,Total gas oil production,Net Deliveries,2021,1103.646
Slovakia,Balance,Total gas oil production,Net Deliveries,2021,661.125
Slovenia,Balance,Total gas oil production,Net Deliveries,2021,423
Spain,Balance,Total gas oil production,Net Deliveries,2021,5755.096
Sweden,Balance,Total gas oil production,Net Deliveries,2021,2157.023
Switzerland,Balance,Total gas oil production,Net Deliveries,2021,2087.706
Türkiye,Balance,Total gas oil production,Net Deliveries,2021,2199.258
United Kingdom,Balance,Total gas oil production,Net Deliveries,2021,11882
United States,Balance,Total gas oil production,Net Deliveries,2021,379378.851
Australia,Balance,Total kerosene production,Net Deliveries,2021,2928.885
Austria,Balance,Total kerosene production,Net Deliveries,2021,404.516
Belgium,Balance,Total kerosene production,Net Deliveries,2021,1489.4
Canada,Balance,Total kerosene production,Net Deliveries,2021,3993.818
Chile,Balance,Total kerosene production,Net Deliveries,2021,824.11
Czech Republic,Balance,Total kerosene production,Net Deliveries,2021,168
Denmark,Balance,Total kerosene production,Net Deliveries,2021,462
Estonia,Balance,Total kerosene production,Net Deliveries,2021,49
Finland,Balance,Total kerosene production,Net Deliveries,2021,318
France,Balance,Total kerosene production,Net Deliveries,2021,4267
Germany,Balance,Total kerosene production,Net Deliveries,2021,6154.784
Greece,Balance,Total kerosene production,Net Deliveries,2021,910.143
Hungary,Balance,Total kerosene production,Net Deliveries,2021,135
Iceland,Balance,Total kerosene production,Net Deliveries,2021,76.792
Ireland,Balance,Total kerosene production,Net Deliveries,2021,1312.324
Israel,Balance,Total kerosene production,Net Deliveries,2021,745
Italy,Balance,Total kerosene production,Net Deliveries,2021,2979.067
Japan,Balance,Total kerosene production,Net Deliveries,2021,17160.966
South Korea,Balance,Total kerosene production,Net Deliveries,2021,6675.778
Latvia,Balance,Total kerosene production,Net Deliveries,2021,75.651
Lithuania,Balance,Total kerosene production,Net Deliveries,2021,69
Luxembourg,Balance,Total kerosene production,Net Deliveries,2021,503.75
Mexico,Balance,Total kerosene production,Net Deliveries,2021,2827
Netherlands,Balance,Total kerosene production,Net Deliveries,2021,2424.087
Norway,Balance,Total kerosene production,Net Deliveries,2021,330.326
New Zealand,Balance,Total kerosene production,Net Deliveries,2021,559
Poland,Balance,Total kerosene production,Net Deliveries,2021,574.464
Portugal,Balance,Total kerosene production,Net Deliveries,2021,807.545
Slovakia,Balance,Total kerosene production,Net Deliveries,2021,21.614
Slovenia,Balance,Total kerosene production,Net Deliveries,2021,12
Spain,Balance,Total kerosene production,Net Deliveries,2021,3357.302
Sweden,Balance,Total kerosene production,Net Deliveries,2021,364.778
Switzerland,Balance,Total kerosene production,Net Deliveries,2021,786.994
Türkiye,Balance,Total kerosene production,Net Deliveries,2021,3507.406
United Kingdom,Balance,Total kerosene production,Net Deliveries,2021,8071
United States,Balance,Total kerosene production,Net Deliveries,2021,63327
Australia,Balance,Total kerosene production,Net Deliveries,2021,4950.512
Austria,Balance,Total kerosene production,Net Deliveries,2021,610.129
Belgium,Balance,Total kerosene production,Net Deliveries,2021,1710.1
Canada,Balance,Total kerosene production,Net Deliveries,2021,6209.252
Chile,Balance,Total kerosene production,Net Deliveries,2021,900.131
Czech Republic,Balance,Total kerosene production,Net Deliveries,2021,276
Denmark,Balance,Total kerosene production,Net Deliveries,2021,765
Estonia,Balance,Total kerosene production,Net Deliveries,2021,56
Finland,Balance,Total kerosene production,Net Deliveries,2021,593
France,Balance,Total kerosene production,Net Deliveries,2021,5700
Germany,Balance,Total kerosene production,Net Deliveries,2021,9093.137
Greece,Balance,Total kerosene production,Net Deliveries,2021,1474.606
Hungary,Balance,Total kerosene production,Net Deliveries,2021,265
Iceland,Balance,Total kerosene production,Net Deliveries,2021,244.37
Ireland,Balance,Total kerosene production,Net Deliveries,2021,1710.854
Israel,Balance,Total kerosene production,Net Deliveries,2021,1119
Italy,Balance,Total kerosene production,Net Deliveries,2021,4119.525
Japan,Balance,Total kerosene production,Net Deliveries,2021,17763.75
South Korea,Balance,Total kerosene production,Net Deliveries,2021,7277.924
Latvia,Balance,Total kerosene production,Net Deliveries,2021,137.968
Lithuania,Balance,Total kerosene production,Net Deliveries,2021,108.4
Luxembourg,Balance,Total kerosene production,Net Deliveries,2021,553.951
Mexico,Balance,Total kerosene production,Net Deliveries,2021,3995
Netherlands,Balance,Total kerosene production,Net Deliveries,2021,3146.141
Norway,Balance,Total kerosene production,Net Deliveries,2021,681.053
New Zealand,Balance,Total kerosene production,Net Deliveries,2021,843
Poland,Balance,Total kerosene production,Net Deliveries,2021,978.428
Portugal,Balance,Total kerosene production,Net Deliveries,2021,1494.792
Slovakia,Balance,Total kerosene production,Net Deliveries,2021,44.752
Slovenia,Balance,Total kerosene production,Net Deliveries,2021,19
Spain,Balance,Total kerosene production,Net Deliveries,2021,5871.01
Sweden,Balance,Total kerosene production,Net Deliveries,2021,712.171
Switzerland,Balance,Total kerosene production,Net Deliveries,2021,1385.389
Türkiye,Balance,Total kerosene production,Net Deliveries,2021,4936.892
United Kingdom,Balance,Total kerosene production,Net Deliveries,2021,12539
United States,Balance,Total kerosene production,Net Deliveries,2021,71876
Australia,Balance,Gasoline and diesel,Net Deliveries,2021,25935.536
Austria,Balance,Gasoline and diesel,Net Deliveries,2021,7447.889
Belgium,Balance,Gasoline and diesel,Net Deliveries,2021,9352
Canada,Balance,Gasoline and diesel,Net Deliveries,2021,27628.413
Chile,Balance,Gasoline and diesel,Net Deliveries,2021,9178.457
Czech Republic,Balance,Gasoline and diesel,Net Deliveries,2021,5137
Denmark,Balance,Gasoline and diesel,Net Deliveries,2021,3676
Estonia,Balance,Gasoline and diesel,Net Deliveries,2021,763
Finland,Balance,Gasoline and diesel,Net Deliveries,2021,4203
France,Balance,Gasoline and diesel,Net Deliveries,2021,41894
Germany,Balance,Gasoline and diesel,Net Deliveries,2021,47235.773
Greece,Balance,Gasoline and diesel,Net Deliveries,2021,4157.004
Hungary,Balance,Gasoline and diesel,Net Deliveries,2021,3796
Iceland,Balance,Gasoline and diesel,Net Deliveries,2021,350.988
Ireland,Balance,Gasoline and diesel,Net Deliveries,2021,3709.629
Israel,Balance,Gasoline and diesel,Net Deliveries,2021,3192
Italy,Balance,Gasoline and diesel,Net Deliveries,2021,26582.197
Japan,Balance,Gasoline and diesel,Net Deliveries,2021,35525.276
South Korea,Balance,Gasoline and diesel,Net Deliveries,2021,21650.177
Latvia,Balance,Gasoline and diesel,Net Deliveries,2021,1062.199
Lithuania,Balance,Gasoline and diesel,Net Deliveries,2021,1885.3
Luxembourg,Balance,Gasoline and diesel,Net Deliveries,2021,1698.036
Mexico,Balance,Gasoline and diesel,Net Deliveries,2021,10652
Netherlands,Balance,Gasoline and diesel,Net Deliveries,2021,6297.338
Norway,Balance,Gasoline and diesel,Net Deliveries,2021,4912.694
New Zealand,Balance,Gasoline and diesel,Net Deliveries,2021,3150
Poland,Balance,Gasoline and diesel,Net Deliveries,2021,18750.413
Portugal,Balance,Gasoline and diesel,Net Deliveries,2021,4619.407
Slovakia,Balance,Gasoline and diesel,Net Deliveries,2021,1889.311
Slovenia,Balance,Gasoline and diesel,Net Deliveries,2021,1511
Spain,Balance,Gasoline and diesel,Net Deliveries,2021,28528.656
Sweden,Balance,Gasoline and diesel,Net Deliveries,2021,5399.307
Switzerland,Balance,Gasoline and diesel,Net Deliveries,2021,5125.653
Türkiye,Balance,Gasoline and diesel,Net Deliveries,2021,25131.7
United Kingdom,Balance,Gasoline and diesel,Net Deliveries,2021,27867
United States,Balance,Gasoline and diesel,Net Deliveries,2021,188284.815
Australia,Balance,Gasoline and diesel,Net Deliveries,2021,26337.065
Austria,Balance,Gasoline and diesel,Net Deliveries,2021,7017.216
Belgium,Balance,Gasoline and diesel,Net Deliveries,2021,8976
Canada,Balance,Gasoline and diesel,Net Deliveries,2021,28738.092
Chile,Balance,Gasoline and diesel,Net Deliveries,2021,9459.054
Czech Republic,Balance,Gasoline and diesel,Net Deliveries,2021,5181
Denmark,Balance,Gasoline and diesel,Net Deliveries,2021,3706
Estonia,Balance,Gasoline and diesel,Net Deliveries,2021,779
Finland,Balance,Gasoline and diesel,Net Deliveries,2021,4236
France,Balance,Gasoline and diesel,Net Deliveries,2021,40998
Germany,Balance,Gasoline and diesel,Net Deliveries,2021,47776.64
Greece,Balance,Gasoline and diesel,Net Deliveries,2021,4525.043
Hungary,Balance,Gasoline and diesel,Net Deliveries,2021,3977
Iceland,Balance,Gasoline and diesel,Net Deliveries,2021,391.884
Ireland,Balance,Gasoline and diesel,Net Deliveries,2021,3872.601
Israel,Balance,Gasoline and diesel,Net Deliveries,2021,3790
Italy,Balance,Gasoline and diesel,Net Deliveries,2021,26644.628
Japan,Balance,Gasoline and diesel,Net Deliveries,2021,35919.242
South Korea,Balance,Gasoline and diesel,Net Deliveries,2021,21151.843
Latvia,Balance,Gasoline and diesel,Net Deliveries,2021,1087.157
Lithuania,Balance,Gasoline and diesel,Net Deliveries,2021,1774.9
Luxembourg,Balance,Gasoline and diesel,Net Deliveries,2021,1425.854
Mexico,Balance,Gasoline and diesel,Net Deliveries,2021,15486
Netherlands,Balance,Gasoline and diesel,Net Deliveries,2021,5977.425
Norway,Balance,Gasoline and diesel,Net Deliveries,2021,4936.937
New Zealand,Balance,Gasoline and diesel,Net Deliveries,2021,3392
Poland,Balance,Gasoline and diesel,Net Deliveries,2021,18674.21
Portugal,Balance,Gasoline and diesel,Net Deliveries,2021,4826.55
Slovakia,Balance,Gasoline and diesel,Net Deliveries,2021,2044.335
Slovenia,Balance,Gasoline and diesel,Net Deliveries,2021,1770
Spain,Balance,Gasoline and diesel,Net Deliveries,2021,28797.864
Sweden,Balance,Gasoline and diesel,Net Deliveries,2021,5149.352
Switzerland,Balance,Gasoline and diesel,Net Deliveries,2021,4809.939
Türkiye,Balance,Gasoline and diesel,Net Deliveries,2021,24974.235
United Kingdom,Balance,Gasoline and diesel,Net Deliveries,2021,28029
United States,Balance,Gasoline and diesel,Net Deliveries,2021,190136.556
Australia,Balance,Residual fuel oil,Net Deliveries,2021,195.404
Austria,Balance,Residual fuel oil,Net Deliveries,2021,65.507
Belgium,Balance,Residual fuel oil,Net Deliveries,2021,48
Canada,Balance,Residual fuel oil,Net Deliveries,2021,2459.029
Chile,Balance,Residual fuel oil,Net Deliveries,2021,571.322
